MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
LA UVITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;81
LA UVITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;47
LA UVITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;703
LA VICTORIA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;602
LA VICTORIA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;17
LA VICTORIA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;7
LA VICTORIA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;515
LABRANZAGRANDE;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1057
LABRANZAGRANDE;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;78
LABRANZAGRANDE;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;39
LABRANZAGRANDE;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1112
MACANAL;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;816
MACANAL;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;33
MACANAL;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;2
MACANAL;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1506
MARIPI;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1516
MARIPI;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;15
MARIPI;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;7
MARIPI;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2331
MIRAFLORES;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;617
MIRAFLORES;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;52
MIRAFLORES;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;40
MIRAFLORES;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;4687
MONGUA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1365
MONGUA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;32
MONGUA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;25
MONGUA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1674
MONGUI;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;978
MONGUI;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;199
MONGUI;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;32
MONGUI;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1690
MONIQUIRA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1837
MONIQUIRA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;1156
MONIQUIRA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;143
MONIQUIRA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;7248
MOTAVITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;563
MOTAVITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;363
MOTAVITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;167
MOTAVITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2950
MUZO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;2975
MUZO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;204
MUZO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;16
MUZO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1370
NOBSA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;774
NOBSA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;150
NOBSA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;120
NOBSA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;8738
NUEVO COLON;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;684
NUEVO COLON;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;68
NUEVO COLON;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;31
NUEVO COLON;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2576
OICATA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;621
OICATA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;87
OICATA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;155
OICATA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1198
OTANCHE;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;3544
